yaw,pitch,roll
-0.04,-2.15,0.85
-0.34,-1.17,0.35
-0.91,0.4,-0.21
-1.01,0.9,-0.69
-1.26,1.8,-1.1
-1.34,2.43,-1.59
-1.33,2.64,-1.75
-1.11,2.3,-1.8
-0.14,-0.08,-0.68
0.27,-5.2,4.64
-0.03,-3.74,5.49
-0.08,-2.8,4.8
-0.2,-1.47,3.44
-0.56,1.48,1.06
-1.32,2.76,-0.59
-2.29,-0.03,0.45
-2.47,-1.61,-0.38
-5.36,7.4,-4.86
-9.57,17.05,-12.02
-12.75,18.45,-19.23
-10.27,23.73,-24.52
-7.5,28.57,-29.83
-6.01,31.99,-32.45
-4.72,35.59,-34.92
-3.95,37.55,-36.61
-3.82,37.36,-34.45
-3.47,35.91,-30.23
-3.99,35.28,-29.07
-6.03,34.1,-27.49
-6.16,32.68,-25.72
-5.63,30.78,-23.12
-4.93,29.45,-21.38
-2.86,30.69,-21.46
-0.46,31.45,-20.9
1.71,32.21,-20.25
1.96,29.03,-17.67
1.02,9.29,-7.05
5.52,-39.7,17.58
25.32,-59.02,59.65
35.59,-55.82,76.4
9.99,-46.06,55.53
6.05,-46.71,45.4
8.72,-50.18,44.92
10.08,-48.69,50.23
-1.6,-30.03,36.91
-9.58,6.02,15.77
-6.48,42.37,-6.42
4.83,55.32,-25.29
4.23,50.17,-29.12
-1.36,34,-23.21
-4.84,18.51,-19.3
-6.88,-4.15,-13.61
-8.44,-5.48,-11.77
-10.24,-16.58,-8.43
-8.94,-30.3,-8.14
-2.02,-33.6,-5.89
11.42,-54.65,11.87
56.09,-70.37,75.08
100.83,-119.21,117.28
112.44,-129.99,125.61
106.79,-132.53,121.66
82.03,-129.17,107.21
13.81,-39.7,48.08
4.48,-2.57,21.47
7,28.86,6.77
17.7,52.82,-9.64
32.89,64.21,-31.51
36.9,64.77,-48.52
28.27,58.15,-46.68
16.91,47.53,-35.66
6.49,24.37,-21.04
0.62,-18.66,-8.45
1.76,-38.61,0.6
3.48,-35.32,5.97
5.21,-26.49,2.3
6.72,-14.17,-2.27
9.08,-0.36,-8.19
13.24,16.36,-15.37
17.72,28,-21.16
20.2,33.57,-24.55
22.9,36.73,-24.37
23.15,36.42,-23.1
23.61,37.27,-23.6
25.22,38.43,-23.62
24.82,35.49,-20.56
25.52,33.93,-17.62
26.58,35.97,-16.77
26.82,36.46,-16.68
25.93,33.45,-14.72
22.72,16.16,-6.92
20.84,-22.75,10.59
32.7,-49.77,42.45
33.81,-48.89,60.67
16.7,-31.07,41.76
8.85,0.52,18.92
12.02,24.17,5.37
16.32,38.5,-3.48
19.03,44.21,-10.59
19.22,43.97,-14.42
13.14,34.99,-14.62
7.01,1.99,-7.2
8.16,-14.43,-9.62
10.87,-16.91,-11.38
13.42,-24.41,-11.76
15.67,-22.77,-13.42
21.23,-29.03,-6.41
31.41,-47.71,9.92
47.81,-63.48,49.63
64.1,-118.03,93.08
66.82,-121.9,100.18
64.48,-123.84,99.37
33.51,-47.82,56.22
17.82,-5.78,25.87
18.42,13.81,16.65
24.92,37.66,6.29
35.61,55.71,-9.33
50.39,67.62,-37.42
55.94,68.94,-58.89
54.24,66.61,-65.36
39.06,58.44,-47.85
24.62,41.57,-29.36
16.29,18.52,-17.29
13.51,-9.15,-5.7
15.6,-22.72,1.03
15.6,-17.7,1.68
16.08,-7.51,-0.21
16.56,-2.59,-1.05
17.07,2.78,-4.16
18.62,9.09,-8.59
21.08,19.42,-13.68
19.82,21.79,-14.25
18.56,20.7,-12.9
17.98,20.06,-12.07
17.07,19.71,-11.6
16.67,19.96,-12.08
18.01,24.4,-15.93
21.61,30.88,-22.26
25.92,35.58,-26.66
27.74,36.84,-26.25
28.19,36.44,-24.41
27.98,35,-20.83
27.04,33.4,-21.12
26.58,32.87,-19.72
26.05,31.39,-16.08
25.22,27.91,-12.74
23.44,24.96,-12.29
23.2,24.84,-11.21
22.44,24.11,-10.52
21.04,24.12,-11.49
20.87,27.49,-14.34
22.15,30.01,-16.34
23.93,31.2,-17.32
24.52,30.94,-17.13
24.36,30.43,-17.06
22.79,26.84,-15.44
19.31,14.21,-9.43
18.66,-0.47,-3.54
19.39,2.6,-6.62
23.34,-7.28,-2.49
32.32,-34.23,14.41
43.95,-52.8,41.96
50.16,-57.26,64.75
50.58,-55.57,75.18
38.24,-45.89,59.13
27.94,-32.31,40.76
19.77,-4.89,22.61
20.27,16.56,11.01
29.02,42.39,-2.31
45.55,62.37,-23.26
52.61,66.37,-42.72
49.59,62.84,-44.9
30.19,40.72,-23.63
19.14,0.37,-10.07
25.99,-34.18,-1.35
41.3,-53.52,3.01
51.18,-62.97,10.07
61.96,-71.84,31.1
72.13,-74.53,80.9
62.2,-68.84,63.9
33.63,-25.61,16.45
30.15,10.06,2.72
34.14,30.8,-8.21
41.97,50.14,-24.64
48.41,59.55,-44.63
49.01,59.95,-60.55
42.96,55.87,-56.76
33.62,47.74,-44.71
22.71,27.06,-25.73
18.33,-1.97,-12.83
20.75,-22.41,-5.49
23.35,-28.28,-1.34
23.7,-14.86,-4.95
24.53,-0.77,-8.78
26.45,4.41,-9.42
27.48,6.94,-10.66
29.09,14.89,-14.13
32.09,28.85,-21.39
32.62,27.29,-18.13
30.8,12.44,-9.39
30.78,14.13,-10.39
32.09,20.49,-13.83
31.67,17.34,-11.42
30.97,15.77,-10.69
29.97,9.48,-6.66
29.75,8.77,-6.78
30.32,18.42,-11.63
31.39,24.47,-14.89
32.39,27.17,-16.3
33.38,28.24,-16.8
33.8,28.82,-16.85
34.59,28.08,-15.88
34.91,26.31,-14.41
35.34,22.74,-12.14
35.84,12.96,-6.96
35.78,-9.6,3.81
39.32,-33.36,19.2
36.18,-36.62,29.04
28.08,-8.63,17.27
30.91,27.46,2.98
41.3,49.83,-11.65
46.3,57.86,-27.05
46.02,58.45,-35.1
34.17,45.89,-25.2
22.71,15.35,-13.51
23.27,-5.81,-11.43
24.9,-7.4,-12.61
29.57,-8.89,-12.02
38.31,-31.8,6.38
48.81,-54.66,37.43
51.87,-57.81,51.48
53.31,-58.8,57.58
52.15,-57.57,57.35
41.84,-42.12,33.97
32.77,-1.47,11.23
37.77,39.78,-12.04
49.44,59.34,-43.11
52.71,60.79,-67.34
50.68,57.89,-73.97
42.18,53.16,-61.75
32.77,44.16,-45.58
23.81,20.71,-25.57
24.63,-15.48,-11.67
31.71,-37,-1.41
32.64,-34.63,1.31
31.3,-17.59,-5.86
30.65,-2.17,-7.96
31.42,10.25,-13.84
33.18,20.18,-19.95
35.68,25.89,-22.54
37.5,28.59,-23.21
38.76,28.79,-22
40.2,29.24,-21.15
40.45,30.33,-20.93
39.25,29.5,-20.45
39.49,29.65,-20.72
40.08,30.2,-20.34
40.47,29.67,-19.64
40.86,29.1,-18.76
41.07,27.38,-17.02
41.5,22.78,-13.71
40.74,6.05,-5.1
42.99,-22.15,9.93
49.23,-45.45,26.99
52.85,-56.39,55.06
50.66,-54.79,63.82
35.83,-16.29,24.12
43.63,37.85,2.27
52.62,56.65,-13.47
56.18,63.83,-30.64
56.75,65.2,-45.01
53.34,62.35,-51.1
37.24,42.52,-30.08
31.6,15.32,-17.96
31.73,-6.58,-11.42
32.25,-9.45,-9.36
33.92,-10.16,-8.72
37.31,-16.26,-6.24
44.78,-30.4,2.4
50.49,-45.65,16.89
56.41,-58.6,40.01
59.68,-62.73,69.71
49.43,-47.76,39.46
41.4,12.09,8.2
46.74,42.96,-11.17
49.05,52.65,-29.97
49.54,56.33,-43.62
47.87,55.97,-51.52
42.17,50.36,-46.53
34.63,37.18,-33.64
29.53,9.97,-19.2
31.51,-14.95,-11.06
36.81,-32.67,-3.65
39.98,-33.48,-0.76
38.4,-17.47,-5.12
39.07,-3.2,-9.21
39.77,7.84,-14.03
41.52,19.67,-19.95
44.17,27.55,-23.35
45.87,31.6,-24.31
47.18,33.06,-23.53
48.05,33.09,-22.38
48.68,31.65,-20.29
48.86,28.07,-17.56
49.47,14.18,-7.12
49.48,-9.52,7.92
49.91,-33.27,24.25
45.3,-32.36,31.86
41.2,-1.89,20.71
48.19,33.2,6.56
59.15,57.96,-11.74
59.42,62.16,-28.39
50.64,51.47,-26.83
39.72,24.06,-15.89
38.92,0.67,-11.35
40.45,-0.66,-11.16
43.61,-5.27,-7.32
48.48,-22.81,4
53.02,-39.52,17.48
55.37,-48.07,29.24
56.52,-55.19,48.89
58.68,-59.9,74.4
49.17,-36.31,33.03
48.05,16.1,8.23
53.99,43.99,-7.31
56.95,54.53,-19.45
58.19,61.96,-38.03
58.92,63.87,-60.5
59.99,63.46,-74.81
60.27,62.34,-82.21
61.53,62.72,-85.73
53.93,59.57,-60.95
44.61,48.6,-40.48
39.15,36.31,-31.19
34.68,14.45,-19.67
37.32,-15.02,-10.02
43.81,-37.66,-2.23
47.09,-46.81,4.18
54.39,-59.91,18.96
52.12,-53.46,16.9
45.12,-27.96,3.39
44.61,-10.17,-1.65
43.54,-3.02,-2.93
43.16,0.48,-6.73
43.34,6.75,-8.23
43.23,12.16,-8.45
43.72,14.46,-9.5
45.98,26.85,-16.91
49.21,37.18,-24.06
52.18,42.37,-27.33
53.75,42.38,-25.44
53.84,38.34,-21.34
50.52,32.04,-17.6
49.46,30.17,-16.59
49.41,28.3,-15.13
49.5,27.16,-15.11
49.88,25.98,-14.24
49.5,25.42,-14.38
48.4,25.1,-13.96
47.93,24.36,-14.33
48.13,23.51,-14.17
48.77,22.71,-13.75
48.94,22.59,-13.7
49.77,22.82,-13.59
51.1,23.6,-13.62
51.9,23.4,-13.66
52.39,21.45,-12.08
53.53,8.58,-5.09
55.77,-28.23,13.28
60.17,-56.6,41.28
62.15,-63.2,77.38
63.16,-118.82,100.81
59.54,-60.22,84.17
52.35,-47.27,40.2
52.6,-43.63,32.21
53.39,-49.97,45.04
48.11,-28.23,28.55
56.94,39.35,1.56
68.43,69.37,-37.86
62.72,64.6,-47.6
52.77,49.67,-33.95
44.82,26.17,-19.72
43.72,3.47,-13.98
42.88,1.62,-17.32
47.06,-0.07,-15.81
55.67,-20.85,0.53
59.22,-47.21,23.6
58.11,-53.11,38.42
56.43,-50.09,37.67
55.12,-48.29,39.43
52.62,-43.1,37.32
49.65,-32.64,31.51
48.1,-19.02,24.06
50.91,20.1,8.75
56.77,45.11,-4.98
63.75,64.65,-29.9
67.94,70.53,-73.94
68.02,112.2,-90.88
64.62,115.7,-91.11
57.18,61.07,-74.79
52.54,58.06,-65.37
48.23,54.51,-57.51
39.39,40.82,-37.04
34.4,11.22,-19
40.11,-27.29,-2.22
48.84,-45.36,10.18
44.94,-25.23,2.39
44.64,-12.18,1.01
44.76,-4.35,0.27
44.42,-0.9,-0.06
44.47,1.68,-1
44.49,6.95,-3.31
44.3,12.98,-5.93
44.15,10.55,-7.24
45.56,17.17,-10.91
47.37,24.54,-15.08
49.22,35.55,-23.45
51.15,41.3,-29.06
52.2,41.55,-30.98
52.97,41.32,-30.44
53.32,39.45,-26.99
53.92,38.07,-24.95
54.88,35.83,-21.96
54.57,33.51,-20.72
53.29,31.48,-17.71
52.68,29.46,-17.14
52.63,28.61,-16.94
52.67,28.15,-16.43
52.91,27.58,-15.77
53.31,26.54,-15.08
54.17,25.28,-13.85
55.53,23.7,-12.66
56.73,20.18,-10.46
58.47,1.1,-0.68
61.39,-25.88,10.48
62.85,-52.79,34.07
60.6,-60.12,67.44
55.09,-51.19,55.12
53.28,-4.91,18.82
57.4,20.68,5.4
59.94,37.03,-4.2
61.11,49.27,-14.66
60.11,53.73,-24.26
57.78,53.53,-30.86
51.13,36.94,-21.61
46.78,6.19,-11.91
50.77,-7.79,-12.12
53.33,-11.05,-12.32
56.98,-15.19,-10.95
59.41,-18.42,-9.84
60.81,-14.34,-10.75
65.9,-28.06,-0.62
65.52,-49.5,22.76
61.83,-59.25,57.08
56.96,-56.72,78.18
54.06,-53.57,77.72
51.79,-44.72,54.76
53.61,-22.46,30
59.66,16.28,11.34
64.52,46.62,-6.68
65.28,61.88,-32.76
62.89,63.02,-50.65
58.61,58.98,-53.67
55.72,56.13,-55.29
51.95,49.65,-46.57
48.03,33.32,-30.72
48.72,2.64,-15.85
53.8,-19,-6.27
54.8,-16.05,-3.05
54.57,-3.79,-5.68
54.18,-1.26,-6
54.88,7.99,-11.12
56.02,16.77,-14.04
56.31,19.82,-16.1
57.08,20.27,-18.02
57.5,22.83,-20.2
58.01,25.28,-21.83
59.26,26.62,-22.38
60.71,27.08,-21.59
61.86,26.6,-19.9
63.49,27.47,-19.22
64.35,26.58,-17.1
65.43,25.37,-15.65
64.42,24.06,-14.07
63.89,22.26,-13.27
63.42,22.32,-14.68
63.61,23.02,-15.28
64.46,22.95,-14.47
65.03,22.79,-14.39
64.27,22.65,-14.18
63.22,22.73,-14.37
63.46,22.48,-14.59
63.8,22.43,-14.13
64.65,22.28,-13.25
65.77,21.33,-11.72
67.43,17.62,-7.91
68.95,-4.76,4.24
65.44,-44.29,28.81
60.06,-56.63,61.47
54.63,-49.36,59.83
58.75,-3.86,23.43
67.91,40.85,5.11
71.55,64.73,-19
68.51,67.27,-42.48
63.07,60.99,-44.75
56.45,41.06,-28.93
55.8,6.49,-16.38
59.43,-6.92,-11.61
66.84,-17.92,-6.72
70.79,-38.5,10.67
66.88,-57.05,41.03
62.71,-60.65,69.34
58.81,-55.86,69.41
64.7,-18.1,28.83
73.39,30.69,8.68
74.18,57.4,-10.76
73.08,71.2,-46.81
68.25,68.55,-68.16
62.42,60.12,-53.83
58.3,42.84,-32.48
61.07,0.23,-13.1
65.59,-20.79,-4.83
66.66,-14.61,-5.05
67.2,5.57,-11.54
67.22,13.65,-14.07
67.26,14.84,-14.55
66.93,18.49,-16.84
65.01,29.27,-24.28
66.16,34.36,-26.72
67.84,32.69,-23.8
67.74,28.06,-19.62
68.71,27.69,-18.46
69.22,27.87,-18.53
69.81,27.98,-18.3
70.55,27.55,-17.84
72.04,26.94,-16.48
74.16,23.03,-13.22
76.34,11.18,-6.48
78.96,-4.38,0.6
79.49,-30.95,13.43
72.43,-50.85,34.87
65.79,-47.18,44.36
68.51,-20.91,26.45
74.74,27.67,4.44
72.91,57.64,-21.6
69.75,61,-36.55
65.04,47.19,-30.35
62.55,18.45,-17.56
64.44,-1.05,-13.39
65.42,-4.46,-12.41
68.73,-3.55,-13.82
78.08,-18.25,-6.73
78.36,-41.79,12.07
72.74,-58.48,37.17
67.66,-64.56,67.88
62.44,-117.32,96.02
59.55,-58.3,80.76
72.69,-20.61,27.72
81.72,23.57,9.25
81.07,49.4,-5.41
76.34,65.89,-32.36
69.84,65.69,-55.16
66.86,55.49,-42.69
66.53,45,-33.45
67.3,36.52,-26.52
68.03,35,-25.26
67.76,43.45,-30.21
66.37,45.71,-32.89
67.07,28.75,-21.28
69.23,8.93,-15.34
72.82,-9.39,-11.42
