yaw,pitch,roll
-0.03,-0.1,0.56
-0.03,-0.42,0.56
-0.02,-0.64,0.54
0.01,-0.8,0.59
0.26,-0.93,0.76
-1.3,-5.42,4.5
-2.83,-9.1,10.4
-4.7,-14.39,17.33
-7.81,-12.79,17.9
-6.86,12.48,4.31
2.5,40.96,-11
27.83,62.35,-38.14
9.17,39.43,-20.63
2.01,3.28,-7.87
0.43,-29.14,11.3
-1.52,-38.33,28.25
-4.5,1.18,10.79
4.83,43.44,-10.04
23.46,61.02,-31.35
54.4,69.15,-68.61
73.05,112.49,-97.2
77.92,115.7,-106.11
66.3,117.98,-95.14
41.85,57.95,-66.32
36.08,56.04,-57.57
36.53,58.11,-55.33
31.62,56.59,-48.23
27.57,53.52,-44.31
23.15,49.58,-40.52
16.48,41.75,-32.66
9.71,28.49,-23.18
3.7,-2.62,-10.03
11.13,-36.2,6.01
35.99,-60.42,47.42
56.49,-57.85,88.38
44.41,-52.33,80.85
12.26,-19.93,22.24
13.47,20.07,1.72
22.56,43.83,-15.49
30.93,53.85,-30.35
32.95,53.97,-42.83
25.62,46.09,-37.73
13.9,26.86,-22.09
9.68,-3.68,-7.9
16.64,-31.92,6.73
32.68,-51.33,34.97
50.88,-55.86,81.53
29.59,-43.62,45.1
17.68,-5.53,14.21
19.73,25.8,-1.83
27.98,46.07,-19.25
37.7,57.09,-39.24
41.75,58.86,-55.22
35.96,54.48,-53.23
28.87,48.83,-44.25
23.34,42.29,-35
17.23,32.95,-24.79
12.73,24.9,-17.08
9.01,13.56,-9.82
5.03,1.67,-2.15
7.75,-13.94,1.78
18.35,-31.86,12.07
40.93,-53.22,48.34
39.81,-50.49,54.06
22.35,-16.02,17.31
22.76,22.51,-3.37
28.47,42.67,-20.89
38.42,54.89,-44.91
38.36,53.73,-55.26
31.6,47.71,-47.72
18.1,24.77,-25.17
16.01,-6.2,-10.77
25.22,-32.88,4.58
39.7,-49.39,27.81
48.66,-55.98,63.15
40.47,-48.52,53.32
27.23,-10.8,16.06
32.09,31.04,-7.18
41.23,51.43,-31.33
46.55,57.16,-52.65
43.48,53.81,-59.74
35.16,46.37,-47.34
22.64,22.55,-24.1
23.36,-4.4,-12.43
32.84,-28.2,0.04
40.85,-41.78,13.97
48.91,-54.4,45.55
41.09,-43.17,38.66
33.25,4.1,6.78
40.92,41.2,-15.72
49.12,56.51,-43.93
47.96,55.15,-59.26
42.95,50.18,-53.91
39.09,45.71,-47.27
30.72,33.86,-30.82
25.3,10.84,-14.67
33.75,-11.88,-5.94
45.8,-35.63,9.91
52.66,-54.11,41.61
50.31,-52.49,52.67
40.64,-13.1,14.13
43.54,28.03,-7.12
50.09,49.46,-28.34
51.62,55.42,-48.91
48.58,52.83,-53.09
44.1,47.5,-47.15
40.6,41.42,-38
37.68,34.53,-28.81
35.55,28.61,-23.41
33.75,24.32,-19.94
31.16,17.09,-16.53
29.79,-1.19,-9.4
36.65,-17.03,-3.39
48.44,-38.99,12.72
55.07,-56.45,46.91
53.81,-56.16,67.33
46.89,-41.67,38.04
42.27,-12.78,17.37
45.43,17.86,2.88
51.57,42.73,-13.89
56.29,56.8,-35.83
53.57,56.59,-52.75
48.43,50.42,-49.65
42.95,38.6,-36.4
38.6,10.24,-16.95
44.49,-15.55,-2.08
50.4,-32.1,9.87
53.38,-47.34,37.21
52.72,-53.63,72.38
49.31,-50.75,70.22
45.35,-20.12,21.53
50.8,21.06,-0.58
57.52,50.22,-25.95
57.73,58.2,-53.14
53.95,53.88,-53.53
48.82,44.33,-41.49
42.41,23.75,-24.89
42.81,3.96,-13.87
55.24,-22.7,-3.16
62.87,-49.33,17.89
60.18,-58.17,53.15
55.79,-55.66,70
52.42,-40.04,40.95
59.1,13.73,6.25
65.26,49.59,-17.33
64.85,63.01,-51.93
59.56,58.96,-63.27
55.82,52.56,-52.4
53.4,46.75,-44.78
51.52,39.57,-35.63
49.71,30.43,-25.49
47.47,19.62,-17.61
45.87,13.17,-13.06
47,9.68,-9.29
46.76,6.61,-4.56
45.21,4.34,-1.97
44.18,3.05,-1.86
43.02,-0.37,-1.43
43.86,-7.78,0.59
57.17,-23.53,1.62
65.23,-50.1,21.6
61.33,-60.54,68.39
55.48,-55.47,78.53
52.84,-52.1,70.08
51.57,-49.8,63.26
50.73,-47.49,54.59
50.36,-45.79,49.27
50.89,-45.3,45.63
49.98,-43.01,43.32
49.48,-39.36,39.93
50.25,-23.79,26.5
64.98,31.01,0.7
73.61,71.12,-46.62
71.46,113.25,-121.65
65.42,119.36,-120.35
61.85,118.27,-93.98
58.26,49.23,-48.37
56.57,19.96,-25.93
59.27,-6.57,-16.27
68.6,-27.33,-7.55
75.85,-46.92,6.79
68.21,-58.55,40.23
62.89,-57.14,51.49
59.21,-54.48,55.55
56.66,-52.76,59.23
54.76,-50.59,58.84
55.93,-33.12,35.25
69.23,12.76,8.81
76.54,58.53,-20.67
72.47,72.11,-82.65
67.17,66.76,-84.84
66.89,59.04,-55.94
72.07,21.59,-19.37
78.29,-13.7,-3.61
75.23,-45.8,20.84
62.91,-52.38,55.16
60.06,-43.66,49.74
72.35,-10.13,20.75
