0.01,-0.19,0.52
-0.03,-0.76,0.62
-0.02,-1.31,0.67
-0.09,-1.99,0.6
-0.1,-1.85,-0.01
-0.69,3.34,-4.34
-0.27,12.51,-12.49
4.14,27.03,-24.34
8.81,34.41,-31.02
11.26,36.69,-31.97
11.76,35.17,-28.52
12.29,33.98,-25.57
11.82,30.42,-20.23
10.28,15.88,-6.95
11.02,-17.54,15.52
12.08,-27.92,29.76
2.78,2.46,13.31
7.6,45.94,-15.88
17.69,54.97,-36.72
6.98,38.7,-28.14
-3.9,0.3,-14.1
-3.97,-31.81,-4.95
10.96,-53.83,15.06
25.59,-58.51,37.32
22.89,-52.82,37.39
4.6,-7.37,5.94
5.88,35.96,-16.69
9.74,48.84,-33.21
8.73,49.96,-40.98
3.35,43.89,-37.3
-0.65,34.72,-30.04
-4.7,14.67,-20.28
-6.59,-17.16,-8.77
-4.72,-24.68,-3.28
1.59,-9.79,-5.08
3.91,12.48,-12.36
7.44,23.26,-17.96
9.58,23.58,-16.98
10.52,20.61,-14.89
10.77,21.15,-16.2
11.68,18.7,-13.98
12.76,4.76,-3.37
17.1,-17.6,11.29
25.74,-38.02,31.37
23.04,-32.7,35.09
12.94,7.94,13.31
22.89,49.03,-12.19
30.1,57.25,-30.2
17.22,40.95,-26.46
6.18,3.73,-13.88
9.35,-29.75,-6.82
25.41,-50.39,8.72
30.78,-54.11,22.24
43.87,-61.36,45.51
38.99,-56.85,44.66
17.16,-20.44,14.04
16.35,27.95,-9.91
24.34,50.12,-33.58
26.26,53.3,-43.2
21.95,50.73,-43.71
14.3,41.58,-35.47
5.88,14.4,-19.75
5.7,-17.1,-7.18
9.29,-21.62,-2.39
10.78,-0.44,-6.83
14.09,13.02,-9.4
17.33,25.42,-17.67
20.71,29.13,-19.06
21.36,27.08,-16.07
21.12,24.61,-13.78
21.08,21.56,-10.58
22.21,15.94,-7.81
23.05,6.55,-3.01
24,3.57,-1.31
26.56,-13.03,5.77
34.88,-37.09,21.74
38.52,-44.22,37.43
26.79,-16.12,20.44
32,40.96,-8.33
35.64,51.13,-23.98
24.4,36.71,-20.1
17.11,15.59,-13.53
15.89,-4.47,-8.73
17.42,-15.92,-7.41
25.91,-26.61,-3.24
35.05,-40.11,7.67
39.86,-45.85,26.85
38.19,-43.01,35.23
28.73,-14.09,16.1
27.72,25.5,-4.09
34.71,49.54,-29.02
36.37,53.31,-43.93
33.64,52,-49.88
26.47,46.88,-47.29
20.68,39.57,-38.67
12.62,12.38,-21.75
16.03,-26.92,-7.46
21.83,-32.3,0.4
20.7,-5.89,-7.02
23.96,12.01,-11.02
26.7,26.03,-19.9
30.16,29.67,-20.23
30.98,26.6,-15.88
31.79,26.34,-15.83
32.64,21.69,-12.25
34.34,4.58,-2.34
39.16,-21.98,12.92
43.19,-38.56,30.47
34.77,-11.38,18.78
39.78,40.69,-7.84
48.91,58.61,-32.05
35.54,41.88,-25.07
24.12,6.62,-13.37
27.39,-18.6,-5.82
37.52,-36.84,4.56
45.25,-46.66,20.36
46.7,-49.07,32.38
35.12,-14.04,10.15
31.64,3.19,-0.39
39.07,-32.65,3.39
57.85,-62.91,41.17
44.2,-38.62,22.41
39.16,30.47,-7.64
45.26,52.66,-33
44.08,53.56,-44.3
36.57,44.88,-38
28.13,19.03,-21.69
28.59,-8.9,-9.63
30.81,-3.65,-7.33
33.86,17.74,-16.34
37.05,26.79,-21.11
39.34,27.02,-19.75
40.53,23.42,-16.18
41.76,20.66,-13.1
44.45,7.94,-4.35
47.62,-16.62,9.33
49.2,-35.79,26.87
44.44,-22.6,23.89
44.67,7.72,11.32
47.47,12.37,5.32
48.88,-22.09,17.64
47.08,-25.28,23.37
45.67,7.69,9.97
52.89,44.25,-10.47
54.48,56.28,-37.13
40.36,26.58,-22.11
38.07,-11.88,-9.39
48.2,-34.53,1.47
54.02,-49.39,22.77
51.47,-44.14,28.99
43.83,-5.87,9.31
43.33,-12.97,5.14
48.36,-30.81,8.98
52.2,-41,18.11
52.34,-43.49,24.53
47.06,16.35,0.1
53.24,53.56,-30.58
52.61,57.24,-50.89
42.9,42.8,-36.99
37.24,16.14,-21.53
39.26,-9.23,-9.73
41.63,-11.35,-4.47
42.28,10.73,-9.23
46.04,23.43,-11.91
47.54,32.54,-19
49.88,32.67,-17.62
50.85,29.89,-14.8
51.39,27.58,-13.68
52.34,23.85,-10.87
55.23,17.41,-5.91
59.11,5.05,0.13
61.27,-12.23,8.53
59.3,-31.23,23.62
57.31,-12.39,18.16
60.82,39.43,-3.08
62.81,61.09,-36.24
55.28,47.45,-31.29
50.28,23.39,-19.6
51.33,-16.76,-8.74
66.54,-53.3,6.23
71.95,-72.19,55.23
68.96,-111.33,93.24
63.9,-56.8,38.18
59.72,-1.35,5.81
60.23,32.1,-10.34
58.11,47.67,-27.38
53.51,47.14,-34.73
49.58,37.58,-28.99
47.24,20.89,-21.51
50.92,-10.75,-11.04
59.85,-42.89,1.63
60.69,-49.48,12.14
56.06,-21.67,3.83
57.31,0.98,-2.43
58.67,21.33,-12.34
59.29,28.98,-17.14
60.86,28.81,-15.9
61.67,28.56,-15.21
62.43,27.38,-14.44
63.04,25.17,-13.09
65.36,22.09,-10.99
67.64,9.7,-3.32
68.03,-16.82,12.18
64.22,-35.58,30.31
61.5,-28.88,30.33
66.77,5.06,11.07
68.28,47.66,-16.21
63.92,52.6,-32.53
60.1,34.97,-24.75
61.01,6.09,-14.89
64.85,-22.17,-7.12
71.02,-46.19,5.05
74.31,-63.5,23.41
72.36,-70.86,60.67
65.34,-65.23,78.35
63.93,-44.9,29.37
67.5,6.87,4.15
67.12,36.91,-11.76
63.8,50.66,-29.53
59.43,49.36,-36.52
57.01,36.86,-29.77
59.58,9.14,-17.1
67.03,-26.16,-5.87
69.01,-42.31,5.3
69.05,-23.16,1.49
70.51,-0.59,-4.9
69.12,15.43,-13.63
70.66,18.22,-14.91
72.61,16.06,-12.09
73.72,15.38,-11.98
75.68,15.48,-11.04
78.72,10.42,-7.6
82.34,2.23,-2.54
82.96,-16.96,9.76
73.33,-44.39,35.35
72.83,-34.92,33.27
83.3,23.4,5.72
77.87,58.77,-21.99
71.91,61.48,-40.63
70.51,43.75,-27.47
72.19,1.25,-9.76
78.62,-19.45,-4.19
81.53,-35.28,4.29
78.54,-43.89,19.38
74.35,-48.78,32.33
73.75,-46.07,32.49
75.01,-40.46,26.67
76.73,-31.42,17.43
79.56,-31.23,13.44
77.78,-41.06,23.13
76.25,-40.15,26.32
79.23,-24.04,17.75
82.82,19.12,1.7
75.96,50.85,-21.77
67.81,57.1,-44.81
64.19,48.85,-42.01
68.84,21.24,-23.92
75.35,-14.06,-7.8
77.82,-13.41,-3.16
79.78,6.95,-10.51
78.11,19.08,-16.03
78.12,25.86,-20.31
80.78,23.64,-17.51
82.49,22.21,-15.78
83.66,20.66,-14.46
84.97,19.31,-12.92
87.59,16.76,-10.59
90.56,11.58,-8.27
91.96,-3.08,3.01
85.84,-32.9,21.83
78.69,-41.64,36.5
87.62,-14.21,20.25
86.79,38.78,-4.89
77.31,58.03,-31.22
73.13,55.57,-38.88
75.68,34.2,-25.08
82.08,-9.28,-10.77
87.65,-29.79,-4
